poi_id,name,category,subcategory,ward_id,district_id,province_id,popularity_tier,source,osm_id,legacy_alias_hint
manual_01_bao_tang_dan_toc_hoc_viet_nam,Bảo tàng Dân tộc học Việt Nam,landmark,museum,,,01,2,manual,,
manual_01_cau_long_bien,Cầu Long Biên,landmark,bridge,,,01,1,manual,,
manual_01_cho_ong_xuan,Chợ Đồng Xuân,landmark,market,,,01,2,manual,,
manual_01_chua_mot_cot,Chùa Một Cột,landmark,heritage_site,,,01,1,manual,,
manual_01_ho_hoan_kiem,Hồ Hoàn Kiếm,landmark,lake,,,01,1,manual,,
manual_01_ho_tay,Hồ Tây,landmark,lake,,,01,1,manual,,
manual_01_hoang_thanh_thang_long,Hoàng thành Thăng Long,landmark,heritage_site,,,01,1,manual,,
manual_01_lang_chu_tich_ho_chi_minh,Lăng Chủ tịch Hồ Chí Minh,landmark,monument,,,01,1,manual,,
manual_01_nha_tho_lon_ha_noi,Nhà thờ Lớn Hà Nội,landmark,tourist_attraction,,,01,2,manual,,
manual_01_van_mieu_quoc_tu_giam,Văn Miếu Quốc Tử Giám,landmark,heritage_site,,,01,1,manual,,
manual_02_bai_bien_vung_tau,Bãi biển Vũng Tàu,landmark,beach,,,02,2,manual,,Bà Rịa Vũng Tàu
manual_02_buu_ien_trung_tam_sai_gon,Bưu điện Trung tâm Sài Gòn,landmark,heritage_site,,,02,2,manual,,Hồ Chí Minh
manual_02_cho_ben_thanh,Chợ Bến Thành,landmark,market,,,02,1,manual,,Hồ Chí Minh
manual_02_chua_ba_thien_hau,Chùa Bà Thiên Hậu,landmark,tourist_attraction,,,02,2,manual,,Bình Dương
manual_02_dinh_oc_lap,Dinh Độc Lập,landmark,tourist_attraction,,,02,1,manual,,Hồ Chí Minh
manual_02_ia_ao_cu_chi,Địa đạo Củ Chi,landmark,heritage_site,,,02,1,manual,,Hồ Chí Minh
manual_02_landmark_81,Landmark 81,landmark,tourist_attraction,,,02,1,manual,,Hồ Chí Minh
manual_02_nha_tho_uc_ba_sai_gon,Nhà thờ Đức Bà Sài Gòn,landmark,heritage_site,,,02,1,manual,,Hồ Chí Minh
manual_02_tuong_chua_kito_vua_vung_tau,Tượng Chúa Kitô Vua Vũng Tàu,landmark,monument,,,02,2,manual,,Bà Rịa Vũng Tàu
manual_03_ao_cat_ba,Đảo Cát Bà,landmark,tourist_attraction,,,03,1,manual,,Hải Phòng
manual_03_bai_bien_o_son,Bãi biển Đồ Sơn,landmark,beach,,,03,2,manual,,Hải Phòng
manual_03_ben_tau_khong_so_k15,Bến tàu không số K15,landmark,heritage_site,,,03,2,manual,,Hải Phòng
manual_03_chua_du_hang,Chùa Dư Hàng,landmark,heritage_site,,,03,2,manual,,Hải Phòng
manual_03_con_son_kiep_bac,Côn Sơn Kiếp Bạc,landmark,heritage_site,,,03,1,manual,,Hải Dương
manual_03_en_tho_trang_trinh_nguyen_binh_khiem,Đền thờ Trạng Trình Nguyễn Bỉnh Khiêm,landmark,heritage_site,,,03,2,manual,,Hải Phòng
manual_03_van_mieu_mao_ien,Văn miếu Mao Điền,landmark,heritage_site,,,03,2,manual,,Hải Dương
manual_03_vinh_lan_ha,Vịnh Lan Hạ,landmark,tourist_attraction,,,03,2,manual,,Hải Phòng
manual_04_ba_na_hills,Bà Nà Hills,landmark,tourist_attraction,,,04,1,manual,,Đà Nẵng
manual_04_ban_ao_son_tra,Bán đảo Sơn Trà,landmark,mountain,,,04,2,manual,,Đà Nẵng
manual_04_bien_my_khe,Biển Mỹ Khê,landmark,beach,,,04,1,manual,,Đà Nẵng
manual_04_cau_rong,Cầu Rồng,landmark,bridge,,,04,1,manual,,Đà Nẵng
manual_04_cau_vang,Cầu Vàng,landmark,tourist_attraction,,,04,1,manual,,Đà Nẵng
manual_04_cho_con,Chợ Cồn,landmark,market,,,04,2,manual,,Đà Nẵng
manual_04_chua_linh_ung,Chùa Linh Ứng,landmark,tourist_attraction,,,04,2,manual,,Đà Nẵng
manual_04_ngu_hanh_son,Ngũ Hành Sơn,landmark,mountain,,,04,1,manual,,Đà Nẵng
manual_04_pho_co_hoi_an,Phố cổ Hội An,landmark,heritage_site,,,04,1,manual,,Quảng Nam
manual_04_thanh_ia_my_son,Thánh địa Mỹ Sơn,landmark,heritage_site,,,04,1,manual,,Quảng Nam
manual_05_ben_ninh_kieu,Bến Ninh Kiều,landmark,tourist_attraction,,,05,1,manual,,Cần Thơ
manual_05_cho_noi_cai_rang,Chợ nổi Cái Răng,landmark,market,,,05,1,manual,,Cần Thơ
manual_05_cho_noi_nga_bay,Chợ nổi Ngã Bảy,landmark,market,,,05,2,manual,,Hậu Giang
manual_05_chua_doi,Chùa Dơi,landmark,tourist_attraction,,,05,2,manual,,Sóc Trăng
manual_05_chua_kh_leang,Chùa Kh leang,landmark,heritage_site,,,05,2,manual,,Sóc Trăng
manual_05_chua_ong_can_tho,Chùa Ông Cần Thơ,landmark,tourist_attraction,,,05,2,manual,,Cần Thơ
manual_05_nha_co_binh_thuy,Nhà cổ Bình Thủy,landmark,heritage_site,,,05,2,manual,,Cần Thơ
manual_05_vuon_co_bang_lang,Vườn cò Bằng Lăng,landmark,tourist_attraction,,,05,2,manual,,Cần Thơ
