street_id,province_id,district_id,name,street_type
osm_street_way_1000397095,29,,Đường huyện 6,street
osm_street_way_1000716852,32,,Hẻm 1740 Lê Văn Lương,street
osm_street_way_1000832944,28,,Hẻm 102/6 Đinh Núp,street
osm_street_way_1000837572,28,,Hẻm 43 Ama Khê,street
osm_street_way_1000955149,02,,Hẻm 373 Đường Nguyễn Kiệm,street
osm_street_way_1000955150,02,,Hẻm 38 Hoàng Văn Thụ,street
osm_street_way_1000955969,02,,Đường Đoàn Thị Điểm,street
osm_street_way_1000964671,28,,Nhánh 92/2 Nguyễn Xuân Nguyên,street
osm_street_way_1001036338,32,,Hẻm 2012 Đường Lê Văn Lương,street
osm_street_way_1001114247,30,,Hẻm Số 26 Đường Số 57,street
osm_street_way_1001137773,28,,Hẻm 102/11 Nguyễn Tất Thành,street
osm_street_way_1001170820,30,,Đường 456,street
osm_street_way_1001296727,32,,Đường 5A,street
osm_street_way_1001318371,29,,Hèm Số 3A Đường Nguyễn Duy Trinh,street
osm_street_way_1001341893,29,,Đường F3,street
osm_street_way_1001341897,29,,Đường Nguyễn Bỉnh Khiêm,street
osm_street_way_1001360937,27,,Đường Tống Duy Tân,street
osm_street_way_1001391731,29,,Hẻm C23 Đường Lê Văn Việt,street
osm_street_way_1001394461,29,,Đường 711A Hoa Tuylip,street
osm_street_way_1001395291,27,,Đường Phùng Chí Kiên,street
osm_street_way_1001443387,30,,Đường Số 02,street
osm_street_way_1001445014,30,,Đường 613,street
osm_street_way_1001446898,29,,Đường Lái Thiêu 15,street
osm_street_way_1001539727,32,,Đường Số 5C,street
osm_street_way_1001602027,30,,Đường Số 609,street
osm_street_way_1001632163,32,,Hẻm 2801 Đường Huỳnh Tấn Phát,street
osm_street_way_1001645916,29,,Đường Lái Thiêu 06,street
osm_street_way_1001653767,01,,Đường tỉnh 377,highway
osm_street_way_1001653769,01,,Thôn Sở Đông,street
osm_street_way_1001668790,32,,Hẻm 2581/19 Đường Huỳnh Tấn Phát,alley
osm_street_way_1001791547,02,,Đường Vạn Hạnh 13,street
osm_street_way_1001940635,28,,Đường Phạm Sỹ,street
osm_street_way_1001984894,21,,Ngõ 89 Hàng Kênh,street
osm_street_way_1001987195,28,,Đường 9 Tháng 5,street
osm_street_way_1001996731,32,,Đường số 11A,street
osm_street_way_1001999086,28,,Đường Y Nuê,street
osm_street_way_1002317461,21,,Cầu Rào,highway
osm_street_way_1002490116,21,,Phố Cựu Đôi,street
osm_street_way_1002500687,28,,Hẻm 51/4 Võ Thị Sáu,street
osm_street_way_1002538721,28,,Hẻm 141 Đường Phan Bội Châu,street
osm_street_way_1002961717,21,,Cầu Dinh,highway
osm_street_way_1002961726,21,,Phố Bồ Đề,highway
osm_street_way_1002987511,29,,Huy Cận,street
osm_street_way_1003010551,29,,Hẻm 43 Đường số 68,street
osm_street_way_1003010590,02,,Hẻm 86,street
osm_street_way_1003023164,02,,Hẻm 553/18 Lũy Bán Bích,street
osm_street_way_1003414572,29,,Hẻm 25 Đường Số 25,street
osm_street_way_1003482909,30,,Đường Huỳnh Thị Ợt,street
osm_street_way_1003859964,02,,Hẻm 88/98 Nguyễn Văn Quỳ,street
osm_street_way_1003870995,02,,Hẻm 35 Võ Thị Nhờ,street
osm_street_way_1004627109,12,,Phố Phạm Ngũ Lão,street
osm_street_way_1004627112,12,,Hải Quân,street
osm_street_way_10049443,01,,Quốc lộ 2,highway
osm_street_way_10049446,01,,Đường Bắc Thăng Long,street
osm_street_way_1005794454,02,,Hẻm 83/48 Vườn Lài,street
osm_street_way_1006321403,34,,Cầu Tà Đét,highway
osm_street_way_1006918775,29,,Cầu Nước Trong,highway
osm_street_way_1007888170,01,,Đường Đặng Thùy Trâm,street
osm_street_way_1008072832,32,,Nút Giao Bình Chánh,highway
osm_street_way_1008233978,12,,Ngõ Nam Đông,street
osm_street_way_1008772528,12,,Phú Vinh Đông 1,street
osm_street_way_1008976931,29,,Cầu Treo Thanh Sơn,street
osm_street_way_1008976933,29,,Cầu Thanh Sơn,highway
osm_street_way_1009024405,01,,Ngõ 33 Phố Tu Hoàng,street
osm_street_way_1009033505,12,,Ngõ 425 Hàm Nghi,street
osm_street_way_1009040162,12,,Ngõ 6 Bút Sơn 29,street
osm_street_way_1009045675,12,,Ngõ 4 Đường Bút Sơn 16 Phú Vinh Đông,street
osm_street_way_1009050873,01,,Ngõ 1 Mai Châu,street
osm_street_way_1009113747,06,,Cầu Lim 1,highway
osm_street_way_100954129,34,,Hoàng Văn Thụ,street
