ward_id,district_id,province_id,name,type,legacy_alias
dn_hc_haichau1,dn_haichau,,Hải Châu 1,phường,
dn_hc_thachthang,dn_haichau,,Thạch Thang,phường,
dn_st_thomay,dn_sontra,,Thọ Quang,phường,
dn_tk2_tanthanh,dn_tamky,,Tân Thạnh,phường,
dn_tk_thanhkhedong,dn_thanhkhe,,Thanh Khê Đông,phường,
hcm_bt_thanhda,hcm_binhthanh,,Thanh Đa,phường,
hcm_q1_bennghe,hcm_quan1,,Bến Nghé,phường,
hcm_q1_denthanh,hcm_quan1,,Đa Kao,phường,
hcm_q3_vothiSau,hcm_quan3,,Võ Thị Sáu,phường,
hcm_q5_chobonthanh,hcm_quan5,,Chợ Quán,phường,
hcm_td_binhtho,hcm_thuduc,,Bình Thọ,phường,
hn_bd_dienbien,hn_badinh,,Điện Biên,phường,
hn_bd_ngochoa,hn_badinh,,Ngọc Hà,phường,
hn_cg_dichvong,hn_caugiay,,Dịch Vọng,phường,
hn_dd_khambuoi,hn_dongda,,Khâm Thiên,phường,
hn_hbt_bachmai,hn_haibatrung,,Bạch Mai,phường,
hn_hk_hangbac,hn_hoankiem,,Hàng Bạc,phường,
hn_hk_trangtien,hn_hoankiem,,Tràng Tiền,phường,
osm_ward_10088783,,32,Mỹ Tho,phường,
osm_ward_10088904,,32,Đạo Thạnh,phường,
osm_ward_10088905,,32,Mỹ Phong,phường,
osm_ward_10088908,,32,Thới Sơn,phường,
osm_ward_10088909,,32,Trung An,phường,
osm_ward_10105785,,32,Cai Lậy,phường,
osm_ward_10105898,,32,Nhị Quý,phường,
osm_ward_10105901,,32,Thanh Hòa,phường,
osm_ward_10105980,,32,Mỹ Phước Tây,phường,
osm_ward_10105984,,32,Tân Phú,xã,
osm_ward_10109552,,31,Long Châu,phường,
osm_ward_10109560,,31,Tân Ngãi,phường,
osm_ward_10113771,,31,Cái Vồn,phường,
osm_ward_10113774,,31,Bình Minh,phường,
osm_ward_10113777,,31,Đông Thành,phường,
osm_ward_10136993,,05,Hưng Phú,phường,
osm_ward_10136998,,05,Cái Răng,phường,
osm_ward_10151346,,05,Ngã Bảy,phường,
osm_ward_10151347,,05,Đại Thành,phường,
osm_ward_10329654,,02,Bàu Lâm,xã,
osm_ward_10330034,,02,Hòa Hội,xã,
osm_ward_10522419,,29,Long Phước,xã,
osm_ward_10522449,,30,Nhựt Tảo,xã,
osm_ward_10522450,,30,Tân Long,xã,
osm_ward_10590955,,02,Chánh Hiệp,phường,
osm_ward_10606838,,05,Phú Lợi,phường,
osm_ward_10606842,,05,Sóc Trăng,phường,
osm_ward_10610050,,33,Bạc Liêu,phường,
osm_ward_10610084,,33,Hiệp Thành,phường,
osm_ward_10610085,,33,Vĩnh Trạch,phường,
osm_ward_10614892,,33,Giá Rai,phường,
osm_ward_10614894,,33,Láng Tròn,phường,
osm_ward_10617838,,33,Phong Thạnh,xã,
osm_ward_10623732,,33,Tân Thành,phường,
osm_ward_10623848,,33,An Xuyên,phường,
osm_ward_10623851,,33,Hòa Thành,phường,
osm_ward_10623852,,33,Lý Văn Lâm,phường,
osm_ward_11379195,,02,Bình Châu,xã,
osm_ward_11379196,,02,Hòa Hiệp,xã,
osm_ward_11678981,,05,Hiệp Hưng,xã,
osm_ward_11679164,,32,Thường Phước,xã,
osm_ward_11829799,,24,Lý Sơn,đặc khu,
osm_ward_12033840,,34,Thổ Châu,đặc khu,
osm_ward_12852607,,34,Phú Quốc,đặc khu,
osm_ward_13253186,,29,Tân An,xã,
osm_ward_13254047,,29,Trị An,phường,
osm_ward_13264114,,29,Phú Lý,xã,
osm_ward_13420411,,29,Tân Đông Hiệp,phường,
osm_ward_13452549,,29,Phước Thái,xã,
osm_ward_13452575,,29,Bình An,xã,
osm_ward_13452858,,29,Long Thành,phường,
osm_ward_13452953,,29,An Phước,xã,
osm_ward_13453216,,29,Trảng Bom,phường,
osm_ward_13455517,,02,Phú Lợi,phường,
osm_ward_13455518,,02,Bình Dương,phường,
osm_ward_13470501,,02,Lái Thiêu,phường,
osm_ward_13470503,,02,Bình Hòa,phường,
osm_ward_13470504,,02,An Phú,phường,
osm_ward_13470506,,02,Thuận Giao,phường,
osm_ward_13470588,,02,Thuận An,phường,
osm_ward_13470837,,29,Đại Phước,xã,
osm_ward_13470865,,29,Phước An,xã,
osm_ward_13473319,,29,Gia Kiệm,xã,
osm_ward_13474219,,29,An Viễn,xã,
osm_ward_13474381,,29,Hố Nai,phường,
osm_ward_13474383,,29,Bình Minh,xã,
osm_ward_13474919,,29,Bàu Hàm,xã,
osm_ward_13475043,,29,Hưng Thịnh,xã,
osm_ward_13477425,,02,Tân Uyên,phường,
osm_ward_13477540,,02,Tân Khánh,phường,
osm_ward_13477543,,02,Vĩnh Tân,phường,
osm_ward_13477544,,02,Bình Cơ,phường,
osm_ward_13477545,,02,Tân Hiệp,phường,
osm_ward_13477595,,02,Phú An,phường,
osm_ward_13477596,,02,Tây Nam,phường,
osm_ward_13477612,,02,Hòa Lợi,phường,
osm_ward_13477632,,02,Chánh Phú Hòa,phường,
osm_ward_13477633,,02,Bến Cát,phường,
osm_ward_13477634,,02,Thới Hòa,phường,
osm_ward_13477646,,30,Trảng Bàng,phường,
osm_ward_13480995,,29,Định Quán,xã,
osm_ward_13483630,,32,Sơn Qui,phường,
osm_ward_13483631,,32,Long Thuận,phường,
osm_ward_13483778,,32,Gò Công,phường,
osm_ward_13483786,,32,Bình Xuân,phường,
osm_ward_13499146,,29,Xuân Lộc,phường,
osm_ward_13503856,,27,Mũi Né,phường,
osm_ward_13512181,,32,Long Khánh,xã,
osm_ward_13512185,,32,Long Phú Thuận,xã,
osm_ward_13512226,,32,Hồng Ngự,phường,
osm_ward_13512229,,32,An Bình,phường,
osm_ward_13512339,,31,Tân Quới,xã,
osm_ward_13512379,,05,Cái Khế,phường,
osm_ward_13512464,,05,Ninh Kiều,phường,
osm_ward_13512595,,05,Tân An,phường,
osm_ward_13512619,,05,An Bình,phường,
osm_ward_13514267,,05,Bình Thủy,phường,
osm_ward_13514288,,05,Long Tuyền,phường,
osm_ward_13514289,,05,Thới An Đông,phường,
osm_ward_13514870,,05,Thới Lai,xã,
osm_ward_13514903,,05,Phong Điền,xã,
osm_ward_13514921,,05,Thạnh An,xã,
osm_ward_13514937,,05,Vĩnh Thạnh,xã,
osm_ward_13516506,,05,Lịch Hội Thượng,xã,
osm_ward_13516729,,05,Tân Phước Hưng,xã,
osm_ward_13518151,,31,Mỹ Thuận,xã,
osm_ward_13518493,,31,Tân Lược,xã,
osm_ward_13518623,,31,Cái Nhum,xã,
osm_ward_13518643,,31,Trà Ôn,xã,
osm_ward_13519579,,32,Hòa Long,xã,
osm_ward_13519699,,32,Tân Dương,xã,
osm_ward_13519734,,32,Phong Hòa,xã,
osm_ward_13530999,,05,Phước Thới,phường,
osm_ward_13531000,,05,Ô Môn,phường,
osm_ward_13531122,,05,Thới Long,phường,
osm_ward_13532748,,05,Thuận Hưng,phường,
osm_ward_13533112,,05,Trung Nhứt,phường,
osm_ward_13533113,,05,Thốt Nốt,phường,
osm_ward_13533977,,30,Mỹ An,xã,
osm_ward_13534020,,30,Mỹ Thạnh,xã,
osm_ward_13534034,,30,Thủ Thừa,xã,
osm_ward_13534112,,30,Tân Trụ,xã,
osm_ward_13534131,,30,Vàm Cỏ,xã,
osm_ward_13556150,,05,Nhơn Ái,xã,
osm_ward_13556151,,05,Trường Long,xã,
osm_ward_13556233,,05,Đông Thuận,xã,
osm_ward_13556290,,05,Trường Thành,xã,
osm_ward_13556450,,05,Phụng Hiệp,xã,
osm_ward_13556609,,05,Vĩnh Trinh,xã,
osm_ward_13556814,,05,Thạnh Quới,xã,
osm_ward_13563885,,31,Duyên Hải,phường,
osm_ward_13565174,,31,Long Hữu,xã,
osm_ward_13565259,,31,Trường Long Hòa,phường,
osm_ward_13565357,,31,Long Thành,xã,
osm_ward_13566786,,34,Bình Đức,phường,
osm_ward_13566853,,34,Long Xuyên,phường,
osm_ward_13566998,,34,Mỹ Thới,phường,
osm_ward_13568534,,32,Gia Thuận,xã,
osm_ward_13568695,,32,Tân Đông,xã,
osm_ward_13568838,,32,Tân Điền,xã,
osm_ward_13568839,,32,Gò Công Đông,xã,
osm_ward_13569150,,32,Tân Hòa,xã,
